name,type,start_time,duration,"data"
"DALI_RX","data",1.240261792,0.006163667,233
"DALI_RX","data",2.195403375,0.006169125,255
"DALI_RX","data",2.201916,0.006168458,20
"DALI_RX","data",2.296125833,0.006169458,255
"DALI_RX","data",2.302639042,0.006168542,4
"DALI_RX","data",2.396858667,0.006169125,255
"DALI_RX","data",2.403371417,0.006231292,148
"DALI_RX","data",2.497589333,0.006169167,255
"DALI_RX","data",2.504102125,0.006168292,4
"DALI_RX","data",2.598323375,0.006168917,255
"DALI_RX","data",2.604836042,0.006169125,100
"DALI_RX","data",2.618035875,0.006156542,21
"DALI_RX","data",3.327776833,0.006170042,139
"DALI_RX","data",3.334351625,0.006169542,161
"DALI_RX","data",3.347432458,0.006231875,169
"DALI_RX","data",3.956431375,0.006168375,255
"DALI_RX","data",3.963004458,0.006104833,3
"DALI_RX","data",4.078452,0.006168708,255
"DALI_RX","data",4.08502575,0.006106125,3
"DALI_RX","data",4.100936208,0.006155417,105
